Product,Rate Unit,Unit,Price 2014,Price 2015,Price 2016,Price 2017,Price 2018,Price 2019,Price 2020,Price 2021,Price 2022,R Price 2014,R Price 2015,R Price 2016,R Price 2017,R Price 2018,R Price 2019,R Price 2020,R Price 2021,R Price 2022,Average R Price
AN20,fluid ounce,fl oz,0.010631063,0.010631063,0.010631063,0.008788345,,0.007087375,,,,1.394587749,,,,,,,,,1.394587749
Accrue,ounce,oz,1.25,,,,,,,,5.1875,7.774826698,7.91982738,8.413524355,9.484591853,7.400689977,,,,4.804080734,7.632923499
Aim EC,fluid ounce,fl oz,6.96875,6.25,6,6.96875,5.40625,,,,0.02608154,0.01186076,0.013471389,0.014907451,0.011961093,,0.009662464,,,0.024153797,0.014336159
Chateau SW,ounce,oz,5.0625,6.875,6.6875,,,5.125,,,3.0625,5.648080382,8.711810117,9.377574021,,,6.987090384,,,2.836144048,6.71213979
Class Act,fluid ounce,fl oz,,,,,0.203125,,,,0.29203125,,,,,0.278060606,,,,0.270446593,0.2742536
Copper-Count-N,fluid ounce,fl oz,0.169921875,0.1875,,,0.1875,,,,,0.189576772,0.237594821,,,0.256671329,,,,,0.227947641
Crosshair,fluid ounce,fl oz,0.37890625,0.37890625,0.37890625,,0.359375,,,,0.50234375,0.422734411,0.480139535,0.531322827,,0.49195338,,,,0.465214445,0.47827292
Destiny HC,fluid ounce,fl oz,,,,,,0.15625,,,0.3728125,,,,,,0.213021048,,,0.345257127,0.279139088
Flint,ounce,oz,8.55,8.75,8.95,9.75,8.5,,,,7.77,9.5389802,11.08775833,12.55017383,13.26992223,11.6357669,,,,7.195702613,10.87971735
Folpan,pound-mass,oz,,,0.209375,,,,,,,,,0.293596944,,,,,,,0.293596944
Gramoxone SL 2,fluid ounce,fl oz,0.2734375,0.25,0.2265625,0.1484375,0.203125,,,,0.46484375,0.30506607,0.316793095,0.317698185,0.20202606,0.278060606,,,,0.43048615,0.308355028
Halt,fluid ounce,fl oz,,,,0.3515625,0.35546875,,,,,,,,0.478482773,0.486606061,,,,,0.482544417
Hellfire,fluid ounce,fl oz,,,,,0.203125,,,,,,,,,0.278060606,,,,,0.278060606
In-Place,fluid ounce,fl oz,0.3046875,0.3125,0.3125,0.3125,0.359375,,,,,,,,,0.278060606,,,,,0.278060606
Infix,fluid ounce,fl oz,,,,,0.203125,,,,0.50296875,0.339930764,0.395991369,0.438204394,0.42531802,0.49195338,,,,0.46579325,0.426198529
Interlock,fluid ounce,fl oz,,,,,0.359375,,,,,,,,,0.49195338,,,,,0.49195338
Kaligreen,pound-mass,oz,0.515625,0.571875,0.59375,0.625,,0.645625,,,0.8125,0.575267446,0.724664205,0.832588348,0.850636041,,0.880202972,,,0.75244638,0.769300899
Kocide 2000,pound-mass,oz,0.59375,0.609375,0.609375,0.578125,0.43125,,,,0.421875,0.662429181,0.77218317,0.854498567,0.786838338,0.590344056,,,,0.390693313,0.676164437
Luna Sensation,fluid ounce,oz,7.5,7.5,7.5,7.5,,6.75,,,6.609375,8.367526491,9.503792855,10.51690544,10.20763249,,9.202509286,,,6.1208619,8.986538077
Milstop,pound-mass,oz,0.515625,0.571875,0.59375,0.625,,0.645625,,,0.8875,0.575267446,0.724664205,0.832588348,0.850636041,,0.880202972,,,0.821902969,0.780876997
NORDOX 75 WG,pound-mass,oz,0.390625,0.390625,0.390625,0.396875,,,,0.3825,0.5375,0.435808671,0.494989211,0.547755492,0.540153886,,,,0.425362371,0.497772221,0.490306975
Omni Oil Supreme,fluid ounce,fl oz,,,,,,0.09375,,,0.083828125,,,,,,0.127812629,,,0.077632208,0.102722419
Paraquat 3SL,fluid ounce,fl oz,,,,,,0.234375,,,,,,,,,0.319531572,,,,0.319531572
Parazone,fluid ounce,fl oz,,,,,,,,0.16796875,,,,,,,,,0.186791074,,0.186791074
Pierce Spreader-Penetrant,fluid ounce,fl oz,,,,,0.390625,,,,0.28515625,,,,,0.534731935,,,,0.264079739,0.399405837
Preference,fluid ounce,fl oz,0.14453125,0.1328125,0.1328125,0.1328125,0.18359375,,,,0.317578125,0.161249208,0.168296332,0.186236867,0.180760159,0.251324009,,,,0.294105244,0.206995303
Pristine,ounce,oz,3.2,3.35,3.7,3.75,,3.375,,,2.99188,3.570144636,4.245027475,5.188340019,5.103816243,,4.601254643,,,2.770743724,4.246554457
Procure 480SC,fluid ounce,fl oz,3.625,4.375,4.375,3.59375,3.625,,,,3.84375,4.044304471,5.543879166,6.134861509,4.891157233,4.962312354,,,,3.559650183,4.856027486
Quintec,fluid ounce,fl oz,3.5,3.5,3.9,4,3.95,,,,4.166666667,3.904845696,4.435103333,5.468790831,5.44407066,5.407209324,,,,3.858699385,4.753119871
R-56,fluid ounce,fl oz,0.2734375,,,,0.375,,,,0.36328125,0.30506607,,,,0.513342657,,,,0.336430353,0.38494636
Rainer-EA,fluid ounce,fl oz,,,,,0.18359375,,,,0.396328125,,,,,0.251324009,,,,0.367034662,0.309179336
Rally 40WSP,ounce,oz,3.2,3.45,3.6,3.6,0.205,,,,3.4875,3.570144636,4.371744713,5.048114613,4.899663594,0.280627319,,,,3.229731385,3.566671044
Regalia,fluid ounce,fl oz,0.460938,0.460938,0.488281,0.488281,0.508594,,,,0.664063,0.51425479,0.584087903,0.684694014,0.664559066,0.696221321,,,,0.614980678,0.626466295
Renegade-EA,fluid ounce,fl oz,,,,,,0.15625,,,0.355469,,,,,,0.213021048,,,0.329195523,0.271108286
Saf-T-Side,fluid ounce,fl oz,,,,,,0.09375,,,,,,,,,0.127812629,,,,0.127812629
Solera,fluid ounce,fl oz,,,,,,0.234375,,,,,,,,,0.319531572,,,,0.319531572
Special Carb,pound-mass,oz,,,,,0.628125,,,,,,,,,0.859848951,,,,,0.859848951
Spreader 90,fluid ounce,fl oz,,,,,0.183594,,,,0.317578,,,,,0.251324352,,,,0.294105128,0.27271474
Sulfur,pound-mass,oz,0.065625,0.0625,0.0625,0.0625,0.06875,,,,0.068125,0.073215857,0.079198274,0.087640879,0.085063604,0.094112821,,,,0.063089735,0.080386861
Super Spread MSO,fluid ounce,fl oz,0.222656,0.222656,0.179688,,,0.15625,,,0.285156,0.248410664,0.282143534,0.251968227,,,0.213021048,,,0.264079508,0.251924596
Superb HC,fluid ounce,fl oz,,,,,,0.15625,,,0.372813,,,,,,0.213021048,,,0.345257591,0.279139319
Superior Spray Oil,fluid ounce,fl oz,0.0859375,0.0859375,0.0859375,0.0859375,0.0976563,,,,0.0838281,0.095877908,0.108897626,0.120506208,0.116962456,0.133683052,,,,0.077632185,0.108926573
Syl-Tac,fluid ounce,fl oz,,,0.515625,,0.390625,,,,0.580078,,,0.723037249,,0.534731935,,,,0.537203189,0.598324124
Thiosol,fluid ounce,fl oz,0.0117651,0.0117651,0.0111981,0.0111981,,0.0112831,,,0.025625,0.013125971,0.01490841,0.015702581,0.015240812,,0.015382642,,,0.023731001,0.01634857
Transfix,fluid ounce,fl oz,,,,,0.375,,,,,,,,,0.513342657,,,,,0.513342657
TriTek,fluid ounce,fl oz,,,,,,0.09375,,,0.0838281,,,,,,0.127812629,,,0.077632185,0.102722407
Velum Prime,fluid ounce,fl oz,,,,,,,,10.0703,9.58594,,,,,,,,11.19876256,8.877422588,10.03809258
Vivando,fluid ounce,fl oz,,,,1.94531,1.91406,,,,2.35156,,,,2.647601274,2.620183058,,,,2.17775115,2.481845161
WA-100,fluid ounce,fl oz,,,,,0.183594,,,,0.317578,,,,,0.251324352,,,,0.294105128,0.27271474
Westlink Crop Oil,fluid ounce,fl oz,,,,,,0.101563,,,,,,,,,0.138464363,,,,0.138464363
